Month,All Items
Jan-25,-0.10%
Feb-15,0.00%
Mar-15,-0.10%
Apr-15,-0.20%
May-25,0.00%
Jun-15,0.10%
Jul-15,0.20%
Aug-15,0.20%
Sep-15,0.00%
Oct-15,0.20%
Nov-15,0.50%
Dec-15,0.70%
Jan-16,1.40%
Feb-16,1.00%
Mar-16,0.90%
Apr-16,1.10%
May-16,1.00%
Jun-16,1.00%
Jul-16,0.80%
Aug-16,1.10%
Sep-16,1.50%
Oct-16,1.60%
Nov-16,1.70%
Dec-16,2.10%
Jan-17,2.50%
Feb-17,2.70%
Mar-17,2.40%
Apr-17,2.20%
May-17,1.90%
Jun-17,1.60%
Jul-17,1.70%
Aug-17,1.90%
Sep-17,2.20%
Oct-17,2.00%
Nov-17,2.20%
Dec-17,2.10%
Jan-18,2.10%
Feb-18,2.20%
Mar-18,2.40%
Apr-18,2.50%
May-18,2.80%
Jun-18,2.90%
Jul-18,2.90%
Aug-18,2.70%
Sep-18,2.30%
Oct-18,2.50%
Nov-18,2.20%
Dec-18,1.90%
Jan-19,1.60%
Feb-19,1.50%
Mar-19,1.90%
Apr-19,2.00%
May-19,1.80%
Jun-19,1.60%
Jul-19,1.80%
Aug-19,1.70%
Sep-19,1.70%
Oct-19,1.80%
Nov-19,2.10%
Dec-19,2.30%
Jan-20,2.50%
Feb-20,2.30%
Mar-20,1.50%
Apr-20,0.30%
May-20,0.10%
Jun-20,0.60%
Jul-20,1.00%
Aug-20,1.30%
Sep-20,1.40%
Oct-20,1.20%
Nov-20,1.20%
Dec-20,1.40%
Jan-21,1.40%
Feb-21,1.70%
Mar-21,2.60%
Apr-21,4.20%
May-21,5.00%
Jun-21,5.40%
Jul-21,5.40%
Aug-21,5.30%
Sep-21,5.40%
Oct-21,6.20%
Nov-21,6.80%
Dec-21,7.00%
Jan-22,7.50%
Feb-22,7.90%
Mar-22,8.50%
Apr-22,8.30%
May-22,8.60%
Jun-22,9.10%
Jul-22,8.50%
Aug-22,8.30%
Sep-22,8.20%
Oct-22,7.70%
Nov-22,7.10%
Dec-22,6.50%
Jan-23,6.40%
Feb-23,6.00%
Mar-23,5.00%
Apr-23,4.90%
May-23,4.00%
Jun-23,3.00%
Jul-23,3.20%
Aug-23,3.70%
Sep-23,3.70%
Oct-23,3.20%
Nov-23,3.10%
Dec-23,3.40%
Jan-24,3.10%
Feb-24,3.20%
Mar-24,3.50%
Apr-24,3.40%
May-24,3.30%
Jun-24,3.00%
Jul-24,2.90%
Aug-24,2.50%
Sep-24,2.40%
Oct-24,2.60%
Nov-24,2.70%
Dec-24,2.90%
Jan-25,3.00%
Feb-25,2.80%
Mar-25,2.40%
