Year,Month,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,InternationalTrade_Imports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories
2015,1,255076,1061241,226500,194245,233110,642698,457925,207,515,1049,954,1085,549342,428208,586215
2015,2,229482,1072895,217853,191934,225837,642901,452584,203,540,1127,863,886,551702,427119,589469
2015,3,229078,1086748,229820,192271,241004,643189,463252,204,480,1072,781,960,552314,433647,591813
2015,4,231205,1115619,226217,193086,232923,643949,460289,206,502,1166,1001,1190,556757,434470,592347
2015,5,225203,1135433,217855,191918,230420,644441,450983,211,502,1272,1012,1079,557561,437865,595780
2015,6,233932,1158193,229732,191512,233937,648252,463819,216,480,1379,962,1205,560092,437951,600675
2015,7,237789,1154561,227727,190841,231181,646996,459623,218,506,1140,988,1146,562754,441942,599473
2015,8,234443,1164377,222828,188084,232289,644749,450872,217,518,1165,974,1130,566326,441849,600838
2015,9,240180,1163937,217818,189155,230796,641387,443626,224,456,1144,1040,1224,571569,439867,602332
2015,10,243295,1151533,226413,187795,228668,641867,450910,226,482,1160,985,1058,574476,438693,601648
2015,11,237442,1145510,222400,185419,225870,639515,443949,229,504,1244,1000,1172,575739,440303,599546
2015,12,226600,1156354,218027,184517,225521,638229,436169,232,546,1211,1023,1146,576301,442149,596850
2016,1,258819,1160988,229203,180951,220997,634781,443032,236,505,1171,1056,1092,579315,439466,596954
2016,2,240991,1172851,217223,183033,226338,632050,431196,239,517,1172,1037,1225,581173,443117,593029
2016,3,236403,1188776,218868,182054,218854,632177,436598,242,532,1118,1003,1111,585997,441856,594164
2016,4,243949,1185902,230281,184167,222215,631493,448453,242,576,1160,945,1163,586690,444254,599582
2016,5,255126,1190685,222761,185125,224156,631705,442183,241,571,1205,1000,1148,589560,445490,602109
2016,6,216685,1217604,207430,186833,228552,631496,430261,244,557,1208,1109,1203,590338,450237,601952
2016,7,261522,1214532,215715,188195,228127,632106,435507,238,628,1198,1072,1239,591522,449789,601327
2016,8,248127,1221250,218051,190173,230319,633118,438959,240,575,1201,1054,1171,592026,449946,600181
2016,9,254889,1232438,216921,190713,227717,631628,438760,243,558,1303,1035,1068,594388,453056,601913
2016,10,245430,1241100,233645,189343,227898,631901,456552,249,575,1254,1070,1313,594488,453847,603317
2016,11,253205,1264881,215307,187654,231549,634618,437433,248,571,1230,1244,1140,599016,453892,607748
2016,12,261125,1270443,219170,192583,233560,635803,447970,254,561,1248,1101,1252,598396,459305,611347
